Location:,Location 1 - Eastbound,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,10/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,
Posted Speed:,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval:,60 Min,,,,,,,,,,,,,,,,,,,,,,,,,,
Title:,Eastbound Speeds,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,0-20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45-99,Total
10/02/2024 00:00 - 00:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/02/2024 01:00 - 01:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/02/2024 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10/02/2024 04:00 - 04:59,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10/02/2024 05:00 - 05:59,3,0,1,1,5,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
10/02/2024 06:00 - 06:59,15,4,4,3,6,3,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
10/02/2024 07:00 - 07:59,22,7,7,6,12,8,4,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
10/02/2024 08:00 - 08:59,19,8,5,7,4,5,4,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62
10/02/2024 09:00 - 09:59,15,5,3,2,8,5,3,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10/02/2024 10:00 - 10:59,9,6,7,3,6,5,1,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44
